"geometry",".tidygraph_node_index"
c(10.195327, 56.162402),NA
c(10.1949881, 56.1624561),NA
c(10.1946574, 56.1625093),NA
c(10.1943817, 56.1625536),NA
c(10.1943509, 56.1625585),NA
c(10.1941253, 56.1625941),NA
c(10.1940177, 56.1626111),NA
c(10.1939162, 56.1626273),NA
c(10.1937714, 56.1626501),NA
c(10.1935413, 56.1626862),NA
c(10.1931877, 56.1627417),NA
c(10.19293, 56.1627822),NA
c(10.1929147, 56.1627846),NA
c(10.1928567, 56.162792),270
c(10.188134, 56.180895),271
c(10.1880049, 56.1815634),NA
c(10.1899207, 56.1822689),NA
c(10.1911932, 56.1828181),NA
c(10.1911203, 56.1832584),272
c(10.2055675, 56.1578464),273
c(10.2055997, 56.1582443),NA
c(10.2057716, 56.1586182),NA
c(10.2058839, 56.1588432),274
c(10.2067765, 56.1588622),NA
c(10.2073027, 56.1576207),275
c(10.2068803, 56.1576129),NA
c(10.2055586, 56.1576645),276
c(10.2079653, 56.1483927),277
c(10.2074812, 56.1477173),NA
c(10.207141, 56.1473119),NA
c(10.2070014, 56.1471529),NA
c(10.2064656, 56.1465184),NA
c(10.2061952, 56.1460819),278
c(10.2055769, 56.1449954),NA
c(10.20554, 56.144616),NA
c(10.2055244, 56.1444266),NA
c(10.2055182, 56.1443489),NA
c(10.2055269, 56.1441631),NA
c(10.20554, 56.1439523),NA
c(10.2055541, 56.1436193),NA
c(10.1961084, 56.1343105),279
c(10.1965855, 56.1344659),NA
c(10.1967827, 56.134528),NA
c(10.1972167, 56.1346648),NA
c(10.197862, 56.1348682),NA
c(10.1982576, 56.1350018),NA
c(10.1986914, 56.1352071),NA
c(10.1995213, 56.1358276),NA
c(10.1996327, 56.1358906),NA
c(10.2016988, 56.1357753),NA
c(10.2019407, 56.1357833),280
c(10.1902654, 56.1137895),281
c(10.19174, 56.1136692),NA
c(10.191893, 56.1136549),NA
c(10.1921551, 56.1136348),NA
c(10.1927663, 56.1135804),NA
c(10.1934741, 56.1135169),NA
c(10.1939528, 56.1134757),NA
c(10.1948302, 56.1133992),NA
c(10.1953195, 56.1133531),282
c(10.1742312, 56.1515118),283
c(10.1737847, 56.1518484),NA
c(10.1735657, 56.1519149),NA
c(10.1732295, 56.1520062),NA
c(10.1726805, 56.1521554),NA
c(10.1712262, 56.1525504),NA
c(10.1706402, 56.1528045),284
c(10.2008053, 56.1517589),285
c(10.1994303, 56.1522341),NA
c(10.1992934, 56.1522618),286
c(10.1988442, 56.150048),287
c(10.1985939, 56.1501375),288
c(10.2036948, 56.1471609),289
c(10.2040794, 56.1471868),NA
c(10.2041834, 56.1471938),NA
c(10.204837, 56.1472378),NA
c(10.2057541, 56.1472822),NA
c(10.206445, 56.1473156),NA
c(10.2061566, 56.146558),NA
c(10.202165, 56.1463133),293
c(10.2035789, 56.1464014),294
c(10.2013598, 56.1462603),NA
c(10.2012362, 56.1462522),NA
c(10.1998923, 56.1461638),295
c(10.1985318, 56.1461576),296
c(10.1985384, 56.1470378),297
c(10.2063208, 56.1458896),298
c(10.206252, 56.1458268),NA
c(10.2061501, 56.1457038),NA
c(10.2060658, 56.1455704),NA
c(10.2060857, 56.1454627),NA
c(10.2072116, 56.1450465),NA
c(10.2081559, 56.1453535),NA
c(10.2076682, 56.1457664),NA
c(10.2062589, 56.1484573),300
c(10.2046058, 56.1484278),301
c(10.2054716, 56.1557962),303
c(10.2042196, 56.1551627),NA
c(10.1985137, 56.1515669),304
c(10.1994948, 56.1512188),NA
c(10.1996413, 56.1511669),NA
c(10.2000012, 56.1510392),305
c(10.1975417, 56.1470571),306
c(10.197565, 56.1465632),307
c(10.1975277, 56.1476095),NA
c(10.1975229, 56.1478304),NA
c(10.1924427, 56.1464098),308
c(10.192603, 56.1465001),NA
c(10.1918592, 56.1480166),309
c(10.1920415, 56.1462665),310
c(10.1911199, 56.1458124),NA
c(10.1905897, 56.1455412),NA
c(10.1903816, 56.1454365),NA
