"geometry",".tidygraph_node_index"
c(10.1898424, 56.1207691),7610
c(10.1910189, 56.1208051),NA
c(10.1908873, 56.1208671),NA
c(10.1905308, 56.1206731),NA
c(10.190444, 56.1206233),7616
c(10.1912353, 56.120978),NA
c(10.1910602, 56.121004),NA
c(10.1966246, 56.1223697),NA
c(10.1936602, 56.123906),NA
c(10.1935791, 56.1239307),7619
c(10.1747282, 56.1210168),7622
c(10.1747714, 56.121501),7623
c(10.1944261, 56.1286854),NA
c(10.1913804, 56.1297288),NA
c(10.1913814, 56.1298385),NA
c(10.1914352, 56.1300663),NA
c(10.1914988, 56.1302844),NA
c(10.1915373, 56.1304509),NA
c(10.1916059, 56.130624),NA
c(10.1916288, 56.1308125),NA
c(10.1916104, 56.1309612),NA
c(10.1922349, 56.131029),NA
c(10.1922694, 56.1310133),7625
c(10.1758427, 56.1218693),7626
c(10.175667, 56.1218334),7629
c(10.1747699, 56.1220583),NA
c(10.1746775, 56.1221872),NA
c(10.174433, 56.122535),7631
c(10.1734652, 56.1220063),NA
c(10.1733945, 56.1214263),NA
c(10.1733857, 56.1213606),7633
c(10.1755543, 56.1223981),NA
c(10.1759282, 56.1218813),7635
c(10.1751486, 56.1222908),NA
c(10.1637902, 56.1227364),7638
c(10.1686575, 56.124179),NA
c(10.1687921, 56.1238252),NA
c(10.1688502, 56.1236725),NA
c(10.1688666, 56.1235124),NA
c(10.1688604, 56.1234243),NA
c(10.1688059, 56.1230237),NA
c(10.1687213, 56.1226149),NA
c(10.1683513, 56.1224791),NA
c(10.1673589, 56.1225299),NA
c(10.1669372, 56.1230603),NA
c(10.1669484, 56.1231255),NA
c(10.1669719, 56.1232624),NA
c(10.1670234, 56.1235999),NA
c(10.1670445, 56.1238107),NA
c(10.167058, 56.1238779),NA
c(10.1670356, 56.1240254),NA
c(10.1655058, 56.1245592),7642
c(10.1722622, 56.1266295),7644
c(10.1693885, 56.1265343),7645
c(10.1658927, 56.1247883),7646
c(10.1648501, 56.1236302),NA
c(10.1648408, 56.1235837),NA
c(10.1647312, 56.1222571),NA
c(10.164806, 56.1219626),NA
c(10.1647788, 56.121729),NA
c(10.1633026, 56.1217225),NA
c(10.1628405, 56.1217414),NA
c(10.1625249, 56.1217512),NA
c(10.1621723, 56.1217622),NA
c(10.1620373, 56.1217664),NA
c(10.1708957, 56.1276491),7649
c(10.1716728, 56.1274695),NA
c(10.171806, 56.1272065),NA
c(10.171879, 56.1270684),NA
c(10.1719974, 56.1268392),7650
c(10.1685324, 56.1245374),NA
c(10.167936, 56.1251),NA
c(10.1635347, 56.1220799),NA
c(10.1634684, 56.1220215),NA
c(10.1630587, 56.1209795),7655
c(10.16272, 56.1224863),NA
c(10.1626979, 56.1226522),7657
c(10.2000182, 56.1400428),7660
c(10.1888627, 56.1422503),7662
c(10.1889544, 56.1430673),7663
c(10.1902013, 56.1388204),7664
c(10.1898419, 56.1388015),NA
c(10.1888383, 56.1387597),NA
c(10.1886875, 56.1387532),NA
c(10.188069, 56.1387267),NA
c(10.1949502, 56.1393909),7665
c(10.1937326, 56.1392199),NA
c(10.1928241, 56.1390942),NA
c(10.1916704, 56.1389728),NA
c(10.190804, 56.1388803),NA
c(10.1992242, 56.1399368),7666
c(10.1975653, 56.1389524),NA
c(10.1960299, 56.1376806),NA
c(10.1959333, 56.1375685),7667
c(10.1900097, 56.143396),7668
c(10.1881965, 56.1432398),7669
c(10.1934613, 56.1376106),7670
c(10.1941029, 56.1378882),7671
c(10.1928806, 56.1386898),7672
c(10.1965611, 56.1396664),7673
c(10.1971236, 56.1391859),NA
c(10.1986633, 56.1384645),NA
c(10.1993647, 56.1381775),7674
c(10.1906806, 56.1423866),7675
c(10.1909828, 56.1426697),NA
c(10.1911086, 56.1427444),7676
c(10.1923088, 56.1374853),7677
c(10.1899879, 56.1372689),7678
c(10.2013641, 56.1403194),NA
c(10.202132, 56.1404755),7679
c(10.2035871, 56.1388746),7680
c(10.2022909, 56.1402225),NA
c(10.2018448, 56.1410153),7681
c(10.191075, 56.1296845),7682
c(10.187336, 56.142428),7684
c(10.1887169, 56.14227),NA
c(10.1901787, 56.1418712),NA
c(10.1906129, 56.1418423),7685
c(10.1926329, 56.1401239),7686
c(10.1905925, 56.141676),7687
c(10.195167, 56.1394253),7688
c(10.2057417, 56.1387448),7689
c(10.205171, 56.1388792),NA
c(10.2051232, 56.1388828),NA
c(10.2045785, 56.1389092),NA
c(10.2038001, 56.1388908),NA
c(10.2001661, 56.1381378),NA
c(10.1993486, 56.1380369),NA
c(10.1966268, 56.137558),NA
c(10.1961711, 56.1374778),NA
c(10.1960145, 56.137448),7690
c(10.196322, 56.1333664),7691
c(10.1962249, 56.1337839),NA
c(10.1959718, 56.1349143),7692
c(10.1912412, 56.142823),7693
c(10.2003313, 56.1391239),7695
c(10.1926837, 56.1382984),7696
c(10.1900955, 56.138051),7697
c(10.1884589, 56.1370199),NA
c(10.1886549, 56.1384962),NA
c(10.1814544, 56.1314247),NA
c(10.1822995, 56.1315589),NA
c(10.1891652, 56.1326432),7699
c(10.1904334, 56.1310671),NA
c(10.1912156, 56.1297046),NA
c(10.1913044, 56.1295679),NA
c(10.1918582, 56.128715),NA
c(10.1921101, 56.1283413),NA
c(10.192404, 56.1279158),NA
c(10.1928525, 56.1272197),NA
c(10.1930422, 56.1269495),NA
c(10.1934091, 56.1264061),NA
c(10.1936098, 56.1261342),NA
c(10.1938926, 56.1257037),NA
c(10.1889581, 56.1394994),7702
c(10.1875, 56.1392992),7704
c(10.1936097, 56.1399133),7705
c(10.1896406, 56.1414887),7707
c(10.1894025, 56.1413304),7708
c(10.188164, 56.1393926),7709
c(10.1914089, 56.1397207),7712
c(10.1901321, 56.1412149),7714
c(10.1899945, 56.1412843),NA
c(10.1899761, 56.1412936),NA
c(10.1870463, 56.1426194),7716
c(10.1945049, 56.1257081),NA
c(10.1946206, 56.1256587),NA
c(10.1884086, 56.1418205),7719
c(10.1888153, 56.1416188),NA
c(10.1899228, 56.1410812),NA
c(10.1901525, 56.1409542),NA
c(10.1893945, 56.1404376),7720
c(10.1913624, 56.1428949),NA
c(10.1918232, 56.1431046),7721
c(10.1832078, 56.1533675),7723
c(10.1706217, 56.1365932),7724
c(10.1721341, 56.1350435),NA
c(10.1723721, 56.1348826),7725
c(10.1693673, 56.1359997),7726
c(10.1712677, 56.1342852),7727
c(10.1682354, 56.1354421),NA
c(10.1696897, 56.1361522),NA
c(10.1704496, 56.1365118),NA
c(10.1721555, 56.1373161),NA
c(10.1725581, 56.1374445),7728
c(10.1671356, 56.1323275),7729
c(10.164607, 56.1317566),NA
c(10.1640165, 56.131606),NA
c(10.1632939, 56.131423),NA
c(10.1625694, 56.1312431),NA
c(10.1613458, 56.1309649),NA
c(10.1612941, 56.1309541),NA
c(10.1611869, 56.1309318),NA
c(10.1610978, 56.1309132),NA
c(10.160706, 56.1308321),NA
c(10.1604311, 56.1307751),NA
c(10.1600363, 56.1306934),7730
c(10.1700321, 56.1335898),7732
c(10.1632719, 56.1298593),NA
c(10.1630671, 56.1300007),7733
c(10.1628357, 56.1301915),NA
c(10.162655, 56.130363),NA
c(10.1624798, 56.1305399),NA
c(10.1623857, 56.1306552),NA
c(10.1621614, 56.1309661),NA
c(10.1649411, 56.1313745),NA
c(10.1651119, 56.1311793),NA
c(10.1661185, 56.1315951),7735
c(10.1674764, 56.1359805),NA
c(10.1685829, 56.1326176),7736
c(10.196843, 56.1488416),7738
c(10.1955325, 56.1488675),7739
c(10.1953365, 56.1488662),7740
c(10.199195, 56.1566318),7741
c(10.1664507, 56.1307889),7742
c(10.1665992, 56.1306987),NA
c(10.1667547, 56.1305332),NA
c(10.1670602, 56.1299983),NA
c(10.16721, 56.1297359),7743
c(10.165214, 56.1284979),7744
c(10.1664649, 56.1283481),NA
c(10.1683072, 56.1280517),NA
c(10.169171, 56.1280002),NA
c(10.1695999, 56.1279985),NA
c(10.1701392, 56.1280036),7745
c(10.16534, 56.1251012),7746
c(10.1648926, 56.1259745),7747
c(10.1667876, 56.1269899),7748
c(10.1660418, 56.1265596),NA
c(10.1659877, 56.1265321),NA
c(10.1649785, 56.1260183),NA
c(10.163674, 56.1257392),7749
c(10.1691561, 56.1328102),7750
c(10.1696327, 56.1326594),NA
c(10.1713715, 56.1329579),NA
c(10.1732424, 56.1333978),7751
c(10.1710732, 56.1333999),7752
c(10.1687961, 56.1323439),7754
c(10.1679919, 56.1320195),7756
c(10.1684824, 56.1314081),NA
c(10.1686632, 56.1310866),NA
c(10.1688932, 56.1306779),NA
c(10.1689549, 56.1305562),NA
c(10.1689668, 56.1305327),NA
c(10.1692587, 56.1299575),7757
c(10.1744613, 56.1353658),7758
c(10.1744976, 56.1350295),NA
c(10.1746201, 56.1345745),NA
c(10.1747202, 56.1342549),NA
c(10.1747739, 56.1340716),NA
c(10.1750186, 56.134238),NA
c(10.1754977, 56.1351325),NA
c(10.1756868, 56.1354904),NA
c(10.1758748, 56.1361509),7759
c(10.1637348, 56.1281859),7760
c(10.1633853, 56.1279202),NA
c(10.1629683, 56.1276297),NA
c(10.1628557, 56.1275512),7761
c(10.1734481, 56.1348374),7762
c(10.1734414, 56.1346749),NA
c(10.1663611, 56.1295623),7764
c(10.166065, 56.1294907),NA
c(10.1655213, 56.1293401),NA
c(10.1651002, 56.1291939),NA
c(10.1645365, 56.1289241),NA
c(10.1643886, 56.1288272),NA
c(10.1642199, 56.1286862),NA
c(10.1639863, 56.1284503),NA
c(10.1638751, 56.1283309),NA
c(10.1637946, 56.1282495),7765
c(10.1730527, 56.1323161),7767
c(10.164976, 56.1284325),7769
c(10.1664872, 56.1274546),7770
c(10.1665473, 56.1272877),NA
c(10.1675329, 56.1259517),7771
c(10.1683282, 56.1265757),7772
c(10.1680688, 56.1270312),7773
c(10.1656459, 56.1277216),7774
c(10.1657871, 56.1276581),NA
c(10.1670552, 56.1273374),NA
c(10.16875, 56.1268568),7775
c(10.1694987, 56.1307873),NA
c(10.171165, 56.1310886),NA
c(10.1725168, 56.131305),7778
c(10.1660954, 56.1297833),NA
c(10.1658124, 56.1299078),NA
c(10.1651518, 56.1301973),7779
c(10.1624565, 56.1285643),7780
c(10.1752767, 56.136281),7781
c(10.1725177, 56.134788),7782
c(10.1678271, 56.1321026),7783
c(10.1649753, 56.1302737),7784
c(10.1664178, 56.1256577),7785
c(10.1635572, 56.1283069),NA
c(10.1628929, 56.1285188),7787
c(10.1625818, 56.1285131),NA
c(10.1632721, 56.1283098),7788
c(10.164251, 56.1283938),7789
c(10.1645506, 56.1286512),7790
c(10.1674051, 56.1309124),7791
c(10.167901, 56.1309876),7792
c(10.1692052, 56.1284345),7793
c(10.168328, 56.1284761),7795
c(10.1692126, 56.126613),7796
c(10.1639987, 56.1288095),7797
c(10.1661414, 56.1308238),7799
c(10.1663326, 56.1309427),7800
c(10.1654566, 56.1279466),7801
c(10.1653592, 56.1280451),NA
c(10.1671726, 56.1314729),7802
c(10.1674562, 56.1311855),7803
c(10.1647228, 56.1261314),7804
c(10.1643423, 56.1260728),NA
c(10.1640627, 56.1260289),NA
c(10.1637888, 56.125986),NA
c(10.1635705, 56.1259518),7805
c(10.1700037, 56.1300202),7806
c(10.1703989, 56.1303838),NA
c(10.171018, 56.1301063),7809
c(10.1697553, 56.1297809),7810
c(10.1705363, 56.12985),NA
c(10.1706655, 56.130076),7811
c(10.1676129, 56.1310248),7814
c(10.167533, 56.1306557),7816
c(10.1671949, 56.1310375),7817
c(10.1678376, 56.1301167),7818
c(10.1679275, 56.1303753),NA
c(10.1636585, 56.1303265),7820
c(10.1643994, 56.1303482),7821
c(10.1696953, 56.1299943),7822
c(10.1680006, 56.1298444),7823
c(10.1681815, 56.1298632),7827
c(10.1643578, 56.1305583),7828
c(10.1642512, 56.1304757),NA
c(10.1717003, 56.1301651),7832
c(10.172027, 56.1306213),NA
c(10.1716635, 56.130116),NA
c(10.1714967, 56.1298938),NA
c(10.1713958, 56.1297624),NA
c(10.1713034, 56.1296363),NA
c(10.1712182, 56.1295228),NA
c(10.1711181, 56.1293795),NA
c(10.1710357, 56.1292615),NA
c(10.1709339, 56.1291196),NA
c(10.1708522, 56.1290057),NA
c(10.1706845, 56.1287719),NA
c(10.1705579, 56.1285954),NA
c(10.1701232, 56.1289729),7833
c(10.1703191, 56.1292292),NA
c(10.1705063, 56.1294769),NA
c(10.1707172, 56.1297204),NA
c(10.1708854, 56.1299944),7834
c(10.1715581, 56.1291319),7835
c(10.1720343, 56.129572),7837
c(10.1719455, 56.129629),7838
c(10.1712898, 56.1289314),7839
c(10.1737461, 56.1299158),7842
c(10.1735916, 56.129574),7844
c(10.1717625, 56.129368),7845
c(10.1716401, 56.129084),7847
c(10.1718235, 56.1293253),7848
c(10.1721712, 56.1298711),7849
c(10.1735588, 56.1295014),7854
c(10.1731381, 56.1300462),7855
c(10.1708271, 56.1300899),7859
c(10.1712302, 56.1297916),7860
c(10.1704904, 56.1297858),7861
c(10.1701634, 56.129355),7864
c(10.1637408, 56.1293462),7865
c(10.1619777, 56.1302009),7866
c(10.1629686, 56.1299583),7868
c(10.1616905, 56.130493),7869
c(10.1614619, 56.1308059),7871
c(10.1615107, 56.1305367),7873
c(10.162483, 56.1297515),7875
c(10.1620584, 56.129853),7876
c(10.1621887, 56.1299099),NA
c(10.1622567, 56.1299396),NA
c(10.1623125, 56.1298187),7878
c(10.161851, 56.1270706),7881
c(10.1618836, 56.1270745),NA
c(10.1626467, 56.1274078),7882
c(10.1633629, 56.1263808),NA
c(10.1639449, 56.1251867),NA
c(10.164221, 56.1246144),NA
c(10.163831, 56.1242139),NA
c(10.1626498, 56.1236689),7883
c(10.1594054, 56.1305538),7884
c(10.1595428, 56.1305782),NA
c(10.1596071, 56.1305895),NA
c(10.1597407, 56.1306132),NA
c(10.1610084, 56.1251906),NA
c(10.1601826, 56.1233956),NA
c(10.1598902, 56.1229247),NA
c(10.1598507, 56.1228867),NA
c(10.1594305, 56.1226558),NA
c(10.1590392, 56.1224876),7886
c(10.1553924, 56.1232243),7887
c(10.1553943, 56.1241591),NA
c(10.1557768, 56.1243463),7888
c(10.1548975, 56.1233618),7889
c(10.1562479, 56.1229866),NA
c(10.1564886, 56.1229197),7890
c(10.1563472, 56.124142),7891
c(10.1819708, 56.1408098),NA
c(10.1582114, 56.1303888),7893
c(10.1584259, 56.1301967),NA
c(10.1587907, 56.129925),NA
c(10.1597093, 56.1292639),NA
c(10.1600011, 56.1290475),NA
c(10.160279, 56.1288415),NA
c(10.1603752, 56.1287689),NA
c(10.1605224, 56.1286579),NA
c(10.1605836, 56.1286118),7894
c(10.1621135, 56.1299641),7895
c(10.1605764, 56.1293088),7896
c(10.1608382, 56.1290482),7897
c(10.1589176, 56.1299734),7898
c(10.1590723, 56.1298533),7899
c(10.1606539, 56.128513),7900
c(10.1608188, 56.1290378),7901
c(10.1589411, 56.129984),7902
c(10.1585615, 56.1302587),7903
c(10.1613457, 56.1296435),7904
c(10.1608506, 56.1299859),7905
c(10.1576079, 56.1248886),7906
c(10.157954, 56.1248745),7907
c(10.1605338, 56.1292973),7908
c(10.1594877, 56.1300439),NA
c(10.1603031, 56.1299074),7909
c(10.1605455, 56.1300442),NA
c(10.1605894, 56.1300621),7910
c(10.1625665, 56.1243474),7911
c(10.1626271, 56.1246398),NA
c(10.1627044, 56.1250123),NA
c(10.1606738, 56.1293372),NA
c(10.1608472, 56.1293632),7913
c(10.1576728, 56.1241592),7914
c(10.1577619, 56.1242554),NA
c(10.1593254, 56.130157),7918
c(10.1599372, 56.1304792),7920
c(10.1612103, 56.1295899),NA
c(10.157247, 56.1246807),7921
c(10.1579596, 56.1251041),7922
c(10.1565074, 56.125153),7923
c(10.1566878, 56.1250384),NA
c(10.1613342, 56.1286153),7928
c(10.1606419, 56.1279708),NA
c(10.1600823, 56.128322),7929
c(10.1596814, 56.125523),7930
c(10.1616299, 56.1198868),NA
c(10.162093, 56.1195492),NA
c(10.162511, 56.1192491),NA
c(10.1631354, 56.118807),NA
c(10.1638287, 56.1183102),NA
c(10.1640684, 56.1181368),NA
c(10.147199, 56.1278225),7934
c(10.1487729, 56.1290321),7935
c(10.1465210644339, 56.128617499119),7937
c(10.1533452, 56.1289856),7938
c(10.165847, 56.1213279),7940
c(10.1665271, 56.121522),NA
c(10.1671153, 56.1214423),NA
c(10.1673194, 56.121407),NA
c(10.1677166, 56.1213477),NA
c(10.1682547, 56.1212865),NA
c(10.1686504, 56.1215387),NA
c(10.1688287, 56.1216694),7941
c(10.165946, 56.1208918),7943
c(10.1529269, 56.1294788),NA
c(10.1530358, 56.1293255),NA
c(10.1566726, 56.125681),7945
c(10.1569221, 56.1255057),7946
c(10.1552676, 56.1247647),7947
c(10.1551949, 56.1248173),7948
c(10.1575314, 56.1260729),7949
c(10.1550505, 56.1249345),NA
c(10.1529734, 56.1240902),NA
c(10.1523675, 56.1238489),NA
c(10.1513084, 56.1234271),NA
c(10.1509442, 56.1230977),NA
c(10.1503901, 56.1227005),NA
c(10.1500191, 56.1225322),NA
c(10.1498097, 56.1224371),NA
c(10.1495756, 56.1223309),NA
c(10.1493195, 56.1222147),NA
c(10.1491097, 56.1221195),NA
c(10.1481826513623, 56.1228907222937),7950
c(10.1491575, 56.1224444),7952
c(10.1738294, 56.1140548),7953
c(10.1740626, 56.11396),7954
c(10.1636935, 56.1173908),7955
c(10.1821491, 56.118917),NA
c(10.1821967, 56.1188545),NA
c(10.1825128, 56.118439),NA
c(10.1832058, 56.1175256),NA
c(10.183777, 56.1167426),NA
c(10.1838476, 56.1162663),NA
c(10.1855378, 56.1149341),NA
c(10.1855846, 56.1141934),7956
c(10.1764132, 56.1163128),7957
c(10.1759976, 56.1168817),7958
c(10.1777162, 56.1178397),7959
c(10.1772056, 56.1172287),NA
c(10.1737175, 56.1163328),7960
c(10.1730219, 56.1170782),7961
c(10.1742006, 56.1156305),NA
c(10.1742632, 56.1150893),7962
c(10.1748341, 56.1135366),7963
c(10.1750995, 56.1135626),NA
c(10.1769487, 56.1132904),NA
c(10.1773845, 56.1131638),NA
c(10.1794730085723, 56.1125544684392),7964
c(10.1733014, 56.1228574),7965
c(10.1787902, 56.1240586),NA
c(10.1794805, 56.1242117),NA
c(10.1798939, 56.1243215),NA
c(10.1803024, 56.1244494),NA
c(10.1807226, 56.1246057),NA
c(10.1809197, 56.1246915),NA
c(10.1812208, 56.1248288),NA
c(10.1814399, 56.1249463),NA
c(10.1825442, 56.1255653),NA
c(10.1830191, 56.1258324),NA
c(10.1832517, 56.1259633),NA
c(10.1834936, 56.1260994),NA
c(10.1836047, 56.1261619),7966
c(10.1733809, 56.1204042),7967
c(10.1737841, 56.1205794),7968
c(10.171546, 56.1205522),7969
c(10.1732352, 56.1202198),NA
c(10.1730207, 56.1199482),NA
c(10.1728493, 56.1197311),NA
c(10.1728189, 56.1196927),NA
c(10.177194, 56.1157507),NA
c(10.177777, 56.1164926),NA
c(10.1788162, 56.1164985),NA
c(10.178898, 56.1165091),NA
c(10.1789868, 56.1165207),NA
c(10.1792271, 56.1166792),NA
c(10.1787962, 56.1172604),NA
c(10.1782457, 56.1179715),7972
c(10.1703957, 56.1213558),7973
c(10.170387, 56.121315),NA
c(10.1703246, 56.1210234),NA
c(10.1703107, 56.1207741),7974
c(10.1695233, 56.1211492),7975
c(10.1690245, 56.1206663),7977
c(10.1698809, 56.1206916),NA
c(10.1715595, 56.120785),7978
c(10.1670628, 56.1207973),7980
c(10.1825571, 56.1144509),7981
c(10.1812752145448, 56.1123235166583),7982
c(10.1813405, 56.1155543),NA
c(10.1812239, 56.1148254),NA
c(10.1811836, 56.1145732),7984
c(10.181909, 56.1182471),NA
c(10.1828021, 56.1144336),7989
c(10.1843794, 56.1142975),NA
c(10.1870567, 56.1140663),NA
c(10.1899681, 56.113819),7990
c(10.1950471, 56.1140151),7991
c(10.1951353, 56.1140347),NA
c(10.195271, 56.1140734),NA
c(10.1948751, 56.1152848),NA
c(10.1947836, 56.1152665),7992
c(10.196013, 56.1131903),7993
c(10.1962553, 56.1130315),NA
c(10.1977429, 56.1123388),NA
c(10.2066279, 56.1143624),NA
c(10.2066672, 56.1144061),NA
c(10.2067839, 56.1145337),7994
c(10.186657, 56.1173065),7995
c(10.1862712, 56.116926),NA
c(10.1860331, 56.1157166),NA
c(10.1925993, 56.1142516),7999
c(10.1921521, 56.1142706),8000
c(10.1881413, 56.1162236),8001
c(10.1874859, 56.1161707),8002
c(10.1872675, 56.1150949),NA
c(10.1905625, 56.1157731),8005
c(10.1902841, 56.1146439),NA
c(10.1902325, 56.1143845),NA
c(10.1901353, 56.1138839),8006
c(10.1946232, 56.1159445),8007
c(10.1960418, 56.1163421),NA
c(10.1952136, 56.117262),8008
c(10.1954059, 56.1156305),8009
c(10.1959494, 56.115584),NA
c(10.1903561, 56.119075),8011
c(10.191392, 56.1189204),8012
c(10.1501012, 56.1311785),NA
c(10.150919, 56.1315517),NA
c(10.1515289, 56.1318651),NA
c(10.1515584, 56.1319082),NA
c(10.1957247, 56.1501083),8019
c(10.183179, 56.1728064),NA
c(10.1833035, 56.1728486),8022
c(10.1965645, 56.1329841),8023
c(10.1828401, 56.170555),NA
c(10.18028, 56.1709895),8024
c(10.1937068, 56.1307878),8025
c(10.1938191, 56.1306231),NA
c(10.1939543, 56.1305478),8026
c(10.1950331, 56.1302617),NA
c(10.1952979, 56.1305761),NA
c(10.154099, 56.1434204),8029
c(10.1540817, 56.143496),NA
c(10.1540289, 56.14364),NA
c(10.1539367, 56.1438768),NA
c(10.1535847, 56.1447808),NA
c(10.1535904, 56.1451629),NA
c(10.153676, 56.1451862),NA
c(10.1538655, 56.1451876),NA
c(10.1541385, 56.1451192),NA
c(10.1543743, 56.1450538),NA
c(10.1546876, 56.144967),NA
c(10.1552594, 56.1448084),NA
c(10.1559887, 56.1446061),NA
c(10.1565049, 56.144463),NA
c(10.1571018, 56.144291),8030
c(10.153321, 56.149232),NA
c(10.1547272, 56.1494661),NA
c(10.1551479, 56.149102),8032
c(10.1529769, 56.149754),NA
c(10.1541064, 56.1503281),NA
c(10.1514158, 56.1409899),NA
c(10.1500235, 56.1411498),NA
c(10.1492032, 56.1412929),NA
c(10.1484355, 56.1414225),NA
c(10.1721819, 56.138501),8035
c(10.1715856, 56.1381407),NA
c(10.1538823, 56.1198949),8036
c(10.1560034, 56.1209588),NA
c(10.1560559, 56.1210031),NA
c(10.1563615, 56.1212701),NA
c(10.1566867, 56.1215544),NA
c(10.157028, 56.1218526),NA
c(10.1571416, 56.1219583),NA
c(10.1582832, 56.1236712),NA
c(10.1587837, 56.1243352),NA
c(10.1601172, 56.1260882),NA
c(10.1603085, 56.1268025),8037
c(10.153064, 56.1229565),8038
c(10.1526935, 56.1221871),NA
c(10.1595400398556, 56.1178909167882),8039
c(10.1596761, 56.1180628),NA
c(10.1605211, 56.1185704),8040
c(10.1557179, 56.1223387),NA
c(10.1545017, 56.1226692),NA
c(10.1531856, 56.123038),8042
c(10.1517018334883, 56.1202580121223),8043
c(10.1515411, 56.1203769),NA
c(10.1512474, 56.1205533),NA
c(10.1508149, 56.1208279),NA
c(10.1498515, 56.1214603),8044
c(10.1603178, 56.1187482),8045
c(10.1610955, 56.1190991),NA
c(10.1612639, 56.1191751),NA
c(10.1615446, 56.1193017),NA
c(10.1561837, 56.1191216),8047
c(10.1559031731499, 56.1189893285187),8048
c(10.1625591, 56.1174966),8049
c(10.1620486017238, 56.1171331784961),8050
c(10.1601873, 56.1269312),8051
c(10.1533974774434, 56.1197460037024),8052
c(10.1522958934452, 56.1200786368546),8053
c(10.1523746, 56.1201277),NA
c(10.1530605, 56.1208394),NA
c(10.1588907, 56.1207298),8056
c(10.1587928, 56.1206272),8057
c(10.1580385, 56.1209096),8058
c(10.1571039, 56.1195567),8060
c(10.1594199, 56.1212619),8061
c(10.1594654, 56.1213077),NA
c(10.1603035, 56.1218858),NA
c(10.1605564, 56.121992),NA
c(10.156505, 56.1201742),8062
c(10.1571047, 56.1204507),NA
c(10.1582691, 56.1210206),NA
c(10.1492589851772, 56.1213963991047),8064
c(10.1533211, 56.1231239),8065
c(10.1632821, 56.1180879),8066
c(10.1626775, 56.118173),8068
c(10.1623102, 56.1184418),8069
c(10.1618374, 56.1186307),8070
c(10.1621701, 56.1183798),8071
c(10.1621811, 56.1187939),8072
c(10.1625223, 56.1185357),8073
c(10.1621052, 56.1183511),8074
c(10.1629102, 56.1174012),8077
c(10.198903, 56.1614548),8078
c(10.1987028, 56.1616149),8079
c(10.1980547, 56.1518271),8080
c(10.1981677, 56.152252),NA
c(10.1975404, 56.1519041),8081
c(10.1978414, 56.1517966),NA
c(10.1978207, 56.1519085),8083
c(10.19033, 56.1319185),8085
c(10.1901247, 56.1333555),8086
c(10.1995472, 56.1319543),NA
c(10.1976849, 56.1330146),NA
c(10.1972358, 56.1330221),NA
c(10.1938352, 56.1660341),NA
c(10.1636326, 56.1402092),8090
c(10.1634521, 56.1409622),8091
c(10.1624848, 56.1397575),8092
c(10.1625958, 56.1398961),NA
c(10.1629009, 56.1404772),NA
c(10.1630069, 56.1411648),NA
c(10.1628732, 56.1412723),8093
c(10.1628716, 56.1421746),8094
c(10.1637383, 56.1419021),NA
c(10.1643298, 56.141892),NA
c(10.1683361, 56.1401385),8095
c(10.1973578, 56.1653771),8097
c(10.1602879, 56.1400546),8098
c(10.1606711, 56.1399993),NA
c(10.162236, 56.1398059),NA
c(10.1629746, 56.1392563),NA
c(10.1627585, 56.1386802),NA
c(10.162326, 56.138325),NA
c(10.1582638, 56.1411597),8100
c(10.1574949, 56.1413381),NA
c(10.1573983, 56.1423751),NA
c(10.1614006, 56.1414376),8101
c(10.1612557, 56.1413532),NA
c(10.1913667, 56.1450736),8105
c(10.191205, 56.1451709),NA
c(10.1908025, 56.1454131),NA
c(10.1903912, 56.1452156),NA
c(10.190777, 56.1449625),NA
c(10.1909399, 56.1448556),8108
c(10.1928542, 56.1420618),8109
c(10.1929306, 56.1421098),NA
c(10.1930232, 56.1421709),NA
c(10.1928257, 56.1431885),8110
c(10.1928535, 56.14583),8111
c(10.1926882, 56.1457433),NA
c(10.1902929, 56.1445259),8112
c(10.1951824, 56.144117),NA
c(10.1952325, 56.1438879),NA
c(10.1953439, 56.1433885),8113
c(10.1889043, 56.1463486),8115
c(10.1903941, 56.1444616),8116
c(10.1906253, 56.144329),NA
c(10.1906674, 56.1443015),NA
c(10.1907698, 56.1441),NA
c(10.1907735, 56.1440878),NA
c(10.1907802, 56.1440658),8117
c(10.1908121, 56.1472539),8118
c(10.1937102, 56.1445991),8119
c(10.1987944, 56.1450091),NA
c(10.1982319, 56.1449392),NA
c(10.1970493, 56.1448454),NA
c(10.1968972, 56.1448333),NA
c(10.1963166, 56.1447843),NA
c(10.1958539, 56.1447476),NA
c(10.1952612, 56.1447052),NA
c(10.1950985, 56.1446981),NA
c(10.1870554, 56.1455925),8120
c(10.1879665, 56.1459676),NA
c(10.1887537, 56.1462877),NA
c(10.1888498, 56.146326),NA
c(10.1898348, 56.1467309),NA
c(10.1916441, 56.1478525),NA
c(10.189887, 56.1447709),NA
c(10.1887485, 56.1454766),NA
c(10.1844679, 56.1445762),8122
c(10.1852425, 56.1441053),8124
c(10.1835837, 56.1455535),8127
c(10.1891447, 56.1470182),NA
c(10.1885689, 56.1470168),NA
c(10.1880764, 56.1469478),8132
c(10.1879904, 56.1472585),8133
c(10.1907046, 56.1473052),NA
c(10.1880701, 56.1464405),8136
c(10.1880186, 56.1469953),NA
c(10.1877343, 56.1472293),NA
c(10.1873859, 56.147514),NA
c(10.1873151, 56.1475959),8138
c(10.200218, 56.1133856),8142
c(10.2001319, 56.1128343),8144
